,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2015-03-31,22.482000112533562,0.028731456741973336,-0.007166982631842689,-0.00873915643102341,1.2009651785254793,0.0033284399315034316,0.007111663479279447,0.0043632492255688375,0.000998458935204687,-0.0019965827093031286,0.0020649868459931414,0.00568945721296907,0.0004406617894477799
2015-04-01,22.294997692108154,-0.03586179719005865,0.003918050233823467,-0.0035365578191081104,1.0910965008952238,0.00777677609546597,0.0007113575504842525,-0.002526527468140698,0.021739018535954436,0.006272472670977297,0.00543470220242235,0.0312532086507648,0.006683422622687693
2015-04-02,20.89519739151001,-0.5202777588681875,-0.04416546517535491,0.0035974427578022716,1.0358385785070172,-0.04789183516785718,-0.06073754014270752,-0.049530288810424934,-0.02668591806144388,-0.06608040360851421,-0.05936418262701782,-0.030188236595116782,-0.05135474184509905
2015-04-06,21.3618004322052,-0.34700028001815875,0.004646010838991598,0.006733255495311008,1.0737731209885386,-0.002583977928621731,-0.010821165460592351,0.008239570642335735,-0.0038489768401152556,-0.005608263633339088,-0.008554028011407302,0.0006265986640111906,-0.0003827436665009686
2015-04-07,20.754600763320923,-0.5578437954578953,-0.012745175910958799,-0.0026460917586598187,1.0017799899876796,-0.010094374135462084,-0.013726241690387251,-0.0004189472444935073,-0.006652787126042486,-0.007466343390245243,-0.06494821102542771,-0.01278291539524001,-0.005233789203467292
2015-04-08,19.714599609375,-0.9176397009677647,-0.001977458455804504,0.003376921481951678,0.9546021789743233,-0.005201075060700777,-0.001928777598623364,0.0008825236398673905,-0.008669012642201122,-0.01673130604648502,-0.00347607521276036,-0.003995347968751234,-0.01451113293474842
2015-04-09,19.984199047088623,-0.8108903095024317,0.003023455172364625,0.004423053041709979,0.8830605834462986,-0.0008823686272617145,0.0021645161527625812,0.008453602825391345,0.0002714566906245599,-0.008394489001984057,-0.025946681194896928,-0.010366637272208011,-0.018992954418053654
2015-04-10,20.578997135162354,-0.5911578180085653,0.010253917052941784,0.005457293902616289,0.8463345827167067,0.005635220495108599,0.010223655113059308,0.0010655092600680904,0.0010055333818023192,0.010617795273381813,0.0009101008650037523,0.012196042764639398,0.01688918695111664
2015-04-13,20.582000017166138,-0.5844312469669034,-0.030401025559092833,-0.0045228138001189855,0.8370045453521637,-0.02661540985061175,-0.03502995185123143,-0.02831450064748719,-0.013335530019642798,-0.03287697490889194,-0.02809311374007688,-0.04495595564757462,-0.010105265214992474
2015-04-14,20.63519859313965,-0.5599028149930078,0.007073981265624718,0.001913216405585061,0.8068834673415657,0.005530238578511477,-0.005868988767246324,0.007023858045239584,0.00972307474003864,0.026212454932707463,0.003432981959121719,0.0011724452856579006,-0.0008152856301245027
