,Strategy
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-02-01,-0.00023594268216246443
2016-02-02,-0.011783520821489542
2016-02-03,0.003839692145730711
2016-02-04,0.0010104583591742005
2016-02-05,-0.012273326823969321
2016-02-08,-0.008503268555724646
2016-02-09,3.559768768491486e-05
2016-02-10,-0.0005729821471313333
2016-02-11,-0.008645560841820174
2016-02-12,0.013678291549996993
2016-02-16,0.011275728922608806
2016-02-17,0.010891354615420784
2016-02-18,-0.002812227512267112
2016-02-19,-0.00032059425643465444
2016-02-22,0.01017241509873452
2016-02-23,-0.008700671992935692
2016-02-24,0.00322745955033908
2016-02-25,0.00885368589075739
2016-02-26,-0.0016911509420799737
2016-02-29,-0.005889808878354676
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.006811885638901399
2016-04-04,-0.0032379032580056
2016-04-05,-0.0099877809757316
2016-04-06,0.010921243535621098
2016-04-07,-0.011966642185522
2016-04-08,0.002696892053164
2016-04-11,-0.0023465942239828
2016-04-12,0.0093129405426437
2016-04-13,0.0101007722303727
2016-04-14,4.809531334060146e-05
2016-04-15,-0.0011055346063674
2016-04-18,0.0070262374466489
2016-04-19,0.0031544498472086
2016-04-20,0.0009529425062584
2016-04-21,-0.005378482105122
2016-04-22,0.0
2016-04-25,-0.0017227927239273
2016-04-26,0.0014862507385837
2016-04-27,0.0020580454791945
2016-04-28,-0.0090756649430833
2016-04-29,-0.0053989650879737
2016-05-02,0.0079484263224847
2016-05-03,-0.0087032262794789
2016-05-04,-0.00557840943938
2016-05-05,-0.0001951871304048
2016-05-06,0.0036594216899268
2016-05-09,0.0008262455538228
2016-05-10,0.0124337843866275
2016-05-11,-0.0093544644110319
2016-05-12,0.0002902331458429
2016-05-13,-0.0087142063422366
2016-05-16,0.0098653880159651
2016-05-17,-0.0093333406292807
2016-05-18,0.000292483182217
2016-05-19,-0.0034648596911942995
2016-05-20,0.006317378754852
2016-05-23,-0.0013625062983905
2016-05-24,0.0129622138478215
2016-05-25,0.0067831756369702
2016-05-26,0.00028646365679
2016-05-27,0.0042993276466534
2016-05-31,-0.0019023759666929
2016-06-01,0.0020491938328355
2016-06-02,0.0030437594986691004
2016-06-03,-0.0029875171971923005
2016-06-06,0.0050886936263767005
2016-06-07,0.0015613087086233997
2016-06-08,0.0032597817846753
2016-06-09,-0.0013654717309041
2016-06-10,-0.009477962988698
2016-06-13,-0.0077115048878203
2016-06-14,-0.0019667035520513
2016-06-15,-0.0013940642801071003
2016-06-16,0.0029842013429468
2016-06-17,-0.0037240875701013
2016-06-20,0.0064399014341056
2016-06-21,-0.00036019648589298396
2016-06-22,0.006586024461804867
2016-06-23,0.0130227593488929
2016-06-24,-0.0359093016416257
2016-06-27,-0.0179098210916793
2016-06-28,0.01698444803745011
2016-06-29,0.014794032003495137
2016-06-30,0.011128994925362113
2016-07-01,0.0016568943649700383
2016-07-05,-0.002600731727039204
2016-07-06,0.023348779492448412
2016-07-07,-0.0008206551209712838
2016-07-08,0.006123885291994036
2016-07-11,-0.0062523078531123285
2016-07-12,0.005486335702633148
2016-07-13,-0.0001069514361587931
2016-07-14,0.004325666295564658
2016-07-15,-0.0010399487473263453
2016-07-18,0.0020829486605867
2016-07-19,-0.0007883461811184666
2016-07-20,0.003240349146870861
2016-07-21,-0.0029468687697549404
2016-07-22,0.0034802044421836592
2016-07-25,-0.002109708225448265
2016-07-26,0.00036505119762225176
2016-07-27,-0.0010609081637664
2016-07-28,0.0011545400217158
2016-07-29,0.0016143766396916
2016-08-01,-0.0009714607566837666
2016-08-02,-0.043377017876621925
2016-08-03,0.0029223410757898997
2016-08-04,0.001064284098478
2016-08-05,0.0081787701379367
2016-08-08,-0.000595930670587
2016-08-09,-0.001
2016-08-10,-0.0064495701270569005
2016-08-11,0.019041434465576098
2016-08-12,-0.001
2016-08-15,-0.0026102415417201
2016-08-16,-0.0051572807945662
2016-08-17,0.0018807521336242999
2016-08-18,0.0022439437247552
2016-08-19,-0.0014620533518443003
2016-08-22,-4.570241173029732e-05
2016-08-23,0.0020132055754913
2016-08-24,-0.005114983918065
2016-08-25,-0.0006882818215517999
2016-08-26,-0.0018834912635026
2016-08-29,0.0049246221982628
2016-08-30,-0.0016489339983728
2016-08-31,-0.0028440112295002
2016-09-01,4.602849311652335e-05
2016-09-02,0.0031064514807169785
2016-09-06,0.0031993500453373507
2016-09-07,-9.111878202006096e-05
2016-09-08,-0.0022830720547659
2016-09-09,-0.0239350815585301
2016-09-12,0.014347521405255298
2016-09-13,-0.014375665356532098
2016-09-14,-0.00037472430907480004
2016-09-15,0.007195460541794057
2016-09-16,-0.002911432195692943
2016-09-19,-0.0001587611123839693
2016-09-20,-0.00814807971769482
2016-09-21,0.0112454884727557
2016-09-22,0.0063011919851625
2016-09-23,-0.0054788651587542
2016-09-26,-0.0081022923462473
2016-09-27,0.0062079253797626
2016-09-28,0.0049635408020485
2016-09-29,-0.0090473583704331
2016-09-30,0.007546400467176301
2016-10-03,-0.002404355488241
2016-10-04,-0.005097780229615901
2016-10-05,0.0044251568985511
2016-10-06,0.0006956654223615
2016-10-07,-0.0034291955927547
2016-10-10,0.0052081606724883
2016-10-11,-0.0126298522074792
2016-10-12,0.0013125498776034
2016-10-13,-0.0032758255966425006
2016-10-14,0.0005163571375339
2016-10-17,-0.0034719128903715
2016-10-18,0.004283301792475342
2016-10-19,0.014700291431819808
2016-10-20,-0.0018665184602224
2016-10-21,0.0004672944193389
2016-10-24,0.0025348369892394603
2016-10-25,-0.010010176585819828
2016-10-26,-0.0020075920947386
2016-10-27,-0.0026667871016767
2016-10-28,-0.0029552117297122
2016-10-31,-0.00022927208432411373
2016-11-01,-0.011663833504814118
2016-11-02,-0.0060185267874444
2016-11-03,-0.0045772705878643
2016-11-04,-0.0011015766587341
2016-11-07,0.0220571932529314
2016-11-08,0.0045037925686588
2016-11-09,0.0106019688813294
2016-11-10,-0.0004174055461201172
2016-11-11,-0.018438532731386566
2016-11-14,0.0007852908775729001
2016-11-15,0.00046718013337226525
2016-11-16,0.022491728847299067
2016-11-17,0.005140836715380199
2016-11-18,-0.0022377092611287
2016-11-21,0.0075515611794023
2016-11-22,0.0019531396677765
2016-11-23,0.0005440109711294
2016-11-25,0.0037156287425732
2016-11-28,-0.0046949148026483
2016-11-29,0.0019501356773876
2016-11-30,-0.0023990053434622
2016-12-01,-0.0036756885301267002
2016-12-02,0.0005007682359587
2016-12-05,0.006009124391205401
2016-12-06,0.0031675271713773
2016-12-07,0.013080513174692898
2016-12-08,0.0024487955721901
