date,stock,q10_ret,q50_ret,q90_ret,q10_price,q50_price,q90_price,actual_price,p_up,actual_return,base_p_up,base_q50
2020-01-02,PSX,-0.013826512731611729,-0.000779437948949635,0.011758610606193542,85.06788388755422,86.193331952233,87.27487112605502,86.17210951502722,0.4444444444444444,-0.0010254650504963,0.4444444444444444,-0.0001011016865959391
2020-01-03,PSX,-0.013035834766924381,-8.772576984483749e-05,0.012471518479287624,85.73977848676472,86.86460959648379,87.95565915817431,84.78277717285992,0.4444444444444444,-0.0240520284121039,0.5555555555555556,7.960540096974e-05
2020-01-06,PSX,-0.015211457386612892,-0.0012764917919412255,0.011777421459555626,82.72194455925198,83.89247752290574,84.98900235188675,83.11472287716984,0.4444444444444444,-0.0105355084672133,0.4444444444444444,-0.0006647823611274362
2020-01-07,PSX,-0.01617279462516308,-0.0022454780992120504,0.010918818414211273,82.12321055607674,83.28576831143586,84.38463434043797,83.95232421431571,0.4444444444444444,0.0057397897284333,0.4444444444444444,-0.0005496239755302668
2020-01-08,PSX,-0.015201049856841564,-0.00139076285995543,0.011390812695026398,82.45594963345788,83.61226720352973,84.68245208750488,80.20470599643068,0.4444444444444444,-0.0420884046216123,0.4444444444444444,-9.707241406431422e-05
2020-01-09,PSX,-0.0163731649518013,-0.0006893051322549582,0.013396930880844593,79.28099680693703,80.54512665371269,81.68048692712529,81.2620854404856,0.4444444444444444,0.0082058895637802,0.4444444444444444,-0.00018994987476617098
2020-01-10,PSX,-0.01782853528857231,-0.002781456336379051,0.010493384674191475,80.31961327910267,81.55012710061283,82.63571157808883,81.42461074396729,0.3333333333333333,-0.0043163066527446,0.4444444444444444,-0.0009019984281621873
2020-01-13,PSX,-0.01650017499923706,-0.0018093781545758247,0.011217933148145676,79.85711385381046,81.0499606712732,82.10773765858445,81.00278798009299,0.4444444444444444,-0.0023903449749581,0.4444444444444444,-0.0005338487681001425
2020-01-14,PSX,-0.017418665811419487,-0.0029343045316636562,0.00980717595666647,80.10968255743974,81.29058997323827,82.3294006260733,82.47748472128269,0.3333333333333333,0.0116234940745,0.4444444444444444,-0.001065047224983573
2020-01-15,PSX,-0.015603057108819485,-0.0007951095467433333,0.012367312796413898,81.08086599594145,82.30053781697467,83.38467426202811,81.04138769340324,0.4444444444444444,-0.0160823603310014,0.4444444444444444,-0.00022115100000519305
2020-01-16,PSX,-0.016246315091848373,-0.0011730330297723413,0.012040480971336365,79.89297004412754,81.11710703159362,82.19020784378199,79.8236014863856,0.4444444444444444,-0.0171004775326451,0.4444444444444444,-0.0005786875262856483
2020-01-17,PSX,-0.017488805577158928,-0.0018596232403069735,0.011883663013577461,78.95527482039478,80.21124665423133,81.3156665827475,79.77992147774727,0.4444444444444444,-0.0072269886924066,0.4444444444444444,-0.000888150418177247
2020-01-21,PSX,-0.017549971118569374,-0.0025301838759332895,0.010632527060806751,78.58523127862738,79.7866495895029,80.83952215585128,79.37164363190735,0.3333333333333333,-0.007718469364082,0.4444444444444444,-0.0012183762155473232
2020-01-22,PSX,-0.017820190638303757,-0.0026488755829632282,0.010678351856768131,77.82595522165735,79.02809975252276,80.08412248488521,78.85814021949649,0.3333333333333333,-0.0047938003869249,0.4444444444444444,-0.0017288972157984972
2020-01-23,PSX,-0.01717473194003105,-0.002784297103062272,0.01029766071587801,77.51183237767182,78.64675331344174,79.67847945499184,78.96609045624888,0.3333333333333333,0.0012647958335065,0.4444444444444444,-0.0013296427205204964
2020-01-24,PSX,-0.015447418205440044,-0.0012383022112771869,0.011586668901145458,77.8157694464906,78.938810830654,79.95245399577897,78.20849913715027,0.4444444444444444,-0.0104784635367822,0.4444444444444444,-0.000505684525705874
2020-01-27,PSX,-0.0165774617344141,-0.0018450934439897537,0.011681604199111462,76.38635827570013,77.53068019094385,78.58135284918423,76.28033362504041,0.4444444444444444,-0.0179424571789433,0.4444444444444444,-0.0013100298820063472
2020-01-28,PSX,-0.017039725556969643,-0.0020610024221241474,0.011656643822789192,73.76280227552175,74.88682795759871,75.91622055255627,74.10269113615398,0.4444444444444444,-0.0125103796343561,0.4444444444444444,-0.0014217306161299348
2020-01-29,PSX,-0.018015185371041298,-0.003858244512230158,0.00930982269346714,73.51475519978834,74.57459240511888,75.5603991331455,74.23611479730714,0.3333333333333333,-0.0083795119783297,0.3333333333333333,-0.0027802768163383007
2020-01-30,PSX,-0.01673433929681778,-0.0036262450739741325,0.00861261785030365,72.9330582283983,73.90534215676644,74.81315144776454,74.415072483865,0.3333333333333333,0.0032458145794884,0.4444444444444444,-0.0022018474992364645
2020-01-31,PSX,-0.016701288521289825,-0.0030228805262595415,0.009683908894658089,73.39994194182941,74.42098909766474,75.36950819453187,72.47451436475144,0.3333333333333333,-0.0290987335332872,0.4444444444444444,-0.00232850038446486
2020-02-03,PSX,-0.016614127904176712,-0.0011601661099120975,0.012841131538152695,69.56899849807144,70.66227904578068,71.65279180652772,68.26493477531893,0.4444444444444444,-0.0350475949506091,0.4444444444444444,-0.0020810049027204514
2020-02-04,PSX,-0.017709897831082344,-0.0009551409166306257,0.013795903883874416,67.66615744527778,68.82032770193346,69.83646999813435,67.55810307655506,0.4444444444444444,-0.0192784919540495,0.3333333333333333,-0.003229433437809348
2020-02-05,PSX,-0.0212223120033741,-0.00479411706328392,0.009220168925821781,67.23472098182071,68.36321534430738,69.32589218072522,70.73908980298721,0.3333333333333333,0.0297929664506887,0.3333333333333333,-0.004962586332112551
2020-02-06,PSX,-0.026007577776908875,-0.00553576136007905,0.011676848866045475,69.8621835452002,71.33057874354458,72.56519875441164,69.55900766633584,0.3333333333333333,-0.0302343424388471,0.3333333333333333,-0.003611816093325615
2020-02-07,PSX,-0.02345040813088417,-0.0038105961866676807,0.013218825682997704,68.2158245002509,69.58774250212147,70.77731450468448,70.37706677284052,0.3333333333333333,0.0074890443303246,0.3333333333333333,-0.0036999338772147894
2020-02-10,PSX,-0.02421356551349163,-0.005413656122982502,0.01050096657127142,68.24563458509412,69.56048351222921,70.67353805630395,69.27608557975104,0.3333333333333333,-0.0094800208977461,0.4444444444444444,-0.002943078987300396
2020-02-11,PSX,-0.021097177639603615,-0.003616966539993882,0.011407873593270779,68.41053621058826,69.63213920026513,70.68214880950964,69.75083428566089,0.3333333333333333,-0.0019185300047714,0.4444444444444444,-0.0028700458351522684
