date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2020-08-26,1.3538000583648682,2021-03-31,217,11019.0,705
2020-08-27,1.332800030708313,2021-03-31,216,11381.0,981
2020-08-28,1.3418999910354614,2021-03-31,215,11470.0,1238
2020-08-31,1.3207999467849731,2021-03-31,212,11627.0,1185
2020-09-01,1.3280999660491943,2021-03-31,211,11604.0,1631
2020-09-02,1.2894999980926514,2021-03-31,210,12050.0,1799
2020-09-03,1.274799942970276,2021-03-31,209,12350.0,3065
2020-09-04,1.252900004386902,2021-03-31,208,12312.0,1446
2020-09-08,1.1792999505996704,2021-03-31,204,12801.0,2482
2020-09-09,1.2021000385284424,2021-03-31,203,12942.0,1736
2020-09-10,1.179900050163269,2021-03-31,202,13241.0,2779
2020-09-11,1.1813000440597534,2021-03-31,201,13402.0,1955
2020-09-14,1.1815999746322632,2021-03-31,198,13998.0,1879
2020-09-15,1.1929999589920044,2021-03-31,197,14126.0,1270
2020-09-16,1.2135000228881836,2021-03-31,196,14589.0,2494
2020-09-17,1.2462999820709229,2021-03-31,195,14859.0,1800
2020-09-18,1.242900013923645,2021-03-31,194,14948.0,1588
2020-09-21,1.1955000162124634,2021-03-31,191,15240.0,1500
2020-09-22,1.1886999607086182,2021-03-31,190,15296.0,1469
2020-09-23,1.19159996509552,2021-03-31,189,15657.0,2652
2020-09-24,1.1965999603271484,2021-03-31,188,15827.0,1919
2020-09-25,1.1969000101089478,2021-03-31,187,16086.0,2172
2020-09-28,1.207200050354004,2021-03-31,184,16152.0,3916
2020-09-29,1.1799999475479126,2021-03-31,183,16366.0,2646
2020-09-30,1.2115999460220337,2021-03-31,182,16671.0,3219
2020-10-01,1.1864999532699585,2021-03-31,181,17856.0,4670
2020-10-02,1.1490999460220337,2021-03-31,180,19188.0,7084
2020-10-05,1.1969000101089478,2021-03-31,177,19911.0,3934
2020-10-06,1.2437000274658203,2021-03-31,176,20338.0,4414
2020-10-07,1.219599962234497,2021-03-31,175,20872.0,3885
2020-10-08,1.2472000122070312,2021-03-31,174,21045.0,2510
2020-10-09,1.2436000108718872,2021-03-31,173,21333.0,2651
2020-10-12,1.210800051689148,2021-03-31,170,21465.0,2221
2020-10-13,1.220900058746338,2021-03-31,169,21509.0,2818
2020-10-14,1.2388999462127686,2021-03-31,168,21492.0,4034
2020-10-15,1.2344000339508057,2021-03-31,167,21444.0,3705
2020-10-16,1.226699948310852,2021-03-31,166,21670.0,2967
2020-10-19,1.21150004863739,2021-03-31,163,21771.0,3028
2020-10-20,1.2244000434875488,2021-03-31,162,21849.0,3376
2020-10-21,1.1950000524520874,2021-03-31,161,21555.0,6544
2020-10-22,1.2165000438690186,2021-03-31,160,21332.0,4033
2020-10-23,1.2050000429153442,2021-03-31,159,21392.0,2639
2020-10-26,1.173799991607666,2021-03-31,156,21356.0,3059
2020-10-27,1.197700023651123,2021-03-31,155,20689.0,4631
2020-10-28,1.1511000394821167,2021-03-31,154,20719.0,5066
2020-10-29,1.1175999641418457,2021-03-31,153,20881.0,10380
2020-10-30,1.1196999549865725,2021-03-31,152,21463.0,7797
2020-11-02,1.1469999551773071,2021-03-31,149,20672.0,8751
2020-11-03,1.1638000011444092,2021-03-31,148,20458.0,7358
2020-11-04,1.2059999704360962,2021-03-31,147,20303.0,6089
2020-11-05,1.2015999555587769,2021-03-31,146,20324.0,5694
2020-11-06,1.170799970626831,2021-03-31,145,19840.0,7838
2020-11-09,1.25,2021-03-31,142,20422.0,12028
2020-11-10,1.2865999937057495,2021-03-31,141,20813.0,7543
2020-11-11,1.2854000329971311,2021-03-31,140,20591.0,9785
2020-11-12,1.274799942970276,2021-03-31,139,20815.0,7944
2020-11-13,1.246899962425232,2021-03-31,138,20716.0,8659
2020-11-16,1.2694000005722046,2021-03-31,135,20682.0,4758
2020-11-17,1.2761000394821167,2021-03-31,134,21073.0,4455
2020-11-18,1.2930999994277954,2021-03-31,133,21261.0,12174
2020-11-19,1.2941999435424805,2021-03-31,132,21758.0,8242
2020-11-20,1.3079999685287476,2021-03-31,131,22821.0,8684
2020-11-23,1.3329999446868896,2021-03-31,128,23719.0,6055
2020-11-24,1.3803000450134275,2021-03-31,127,23981.0,12809
2020-11-25,1.4048000574111938,2021-03-31,126,24422.0,9515
2020-11-27,1.401900053024292,2021-03-31,124,25031.0,5045
2020-11-30,1.3895000219345093,2021-03-31,121,25608.0,6936
2020-12-01,1.368899941444397,2021-03-31,120,26510.0,12778
2020-12-02,1.386199951171875,2021-03-31,119,28082.0,9793
2020-12-03,1.4079999923706057,2021-03-31,118,27382.0,9921
2020-12-04,1.4182000160217283,2021-03-31,117,27600.0,6844
2020-12-07,1.414199948310852,2021-03-31,114,28170.0,5451
2020-12-08,1.4198999404907229,2021-03-31,113,29481.0,9693
2020-12-09,1.4111000299453735,2021-03-31,112,30499.0,7825
2020-12-10,1.444700002670288,2021-03-31,111,32177.0,9662
2020-12-11,1.4450000524520874,2021-03-31,110,32805.0,9585
2020-12-14,1.4605000019073486,2021-03-31,107,32381.0,10060
2020-12-15,1.4718999862670898,2021-03-31,106,32757.0,8483
2020-12-16,1.4835000038146973,2021-03-31,105,33800.0,9086
2020-12-17,1.496999979019165,2021-03-31,104,36267.0,14147
2020-12-18,1.5121999979019165,2021-03-31,103,37107.0,12593
2020-12-21,1.4778000116348269,2021-03-31,100,37271.0,12150
2020-12-22,1.4628000259399414,2021-03-31,99,37503.0,6186
2020-12-23,1.493499994277954,2021-03-31,98,38821.0,12246
2020-12-24,1.4884999990463257,2021-03-31,97,39077.0,7956
2020-12-28,1.4779000282287598,2021-03-31,93,37693.0,7643
2020-12-29,1.4860999584197998,2021-03-31,92,37705.0,5868
2020-12-30,1.4903000593185425,2021-03-31,91,37969.0,6931
2020-12-31,1.485100030899048,2021-03-31,90,38984.0,7837
2021-01-04,1.4639999866485596,2021-03-31,86,39336.0,15261
2021-01-05,1.520900011062622,2021-03-31,85,38122.0,19292
2021-01-06,1.5298000574111938,2021-03-31,84,39547.0,16384
2021-01-07,1.538100004196167,2021-03-31,83,39607.0,20972
2021-01-08,1.5784000158309937,2021-03-31,82,40970.0,18202
2021-01-11,1.5728000402450562,2021-03-31,79,41884.0,17598
2021-01-12,1.5960999727249146,2021-03-31,78,42485.0,15486
2021-01-13,1.5967999696731567,2021-03-31,77,43127.0,17933
2021-01-14,1.617300033569336,2021-03-31,76,40973.0,22238
2021-01-15,1.59089994430542,2021-03-31,75,43866.0,17932
2021-01-19,1.5978000164031982,2021-03-31,71,43839.0,17614
2021-01-20,1.60099995136261,2021-03-31,70,43092.0,18676
2021-01-21,1.6009000539779663,2021-03-31,69,45730.0,22430
2021-01-22,1.5771000385284424,2021-03-31,68,46965.0,25446
2021-01-25,1.5937999486923218,2021-03-31,65,47787.0,22417
2021-01-26,1.5956000089645386,2021-03-31,64,50202.0,22523
2021-01-27,1.603600025177002,2021-03-31,63,51592.0,25500
2021-01-28,1.597000002861023,2021-03-31,62,53344.0,27524
2021-01-29,1.5943000316619873,2021-03-31,61,56230.0,36029
2021-02-01,1.638399958610535,2021-03-31,58,57329.0,49920
2021-02-02,1.6657999753952026,2021-03-31,57,62222.0,52737
2021-02-03,1.6829999685287476,2021-03-31,56,61934.0,38507
2021-02-04,1.6934000253677368,2021-03-31,55,64950.0,33414
2021-02-05,1.705299973487854,2021-03-31,54,66935.0,48574
2021-02-08,1.7386000156402588,2021-03-31,51,68999.0,40091
2021-02-09,1.7482000589370728,2021-03-31,50,71972.0,36589
2021-02-10,1.752500057220459,2021-03-31,49,76921.0,42437
2021-02-11,1.7383999824523926,2021-03-31,48,81699.0,49513
2021-02-12,1.764799952507019,2021-03-31,47,85520.0,54459
2021-02-16,1.801699995994568,2021-03-31,43,87069.0,134415
2021-02-17,1.823799967765808,2021-03-31,42,97346.0,84318
2021-02-18,1.822800040245056,2021-03-31,41,101356.0,93603
2021-02-19,1.8104000091552728,2021-03-31,40,104245.0,101223
2021-02-22,1.8508000373840328,2021-03-31,37,114021.0,103316
2021-02-23,1.8609000444412231,2021-03-31,36,121991.0,85247
2021-02-24,1.899999976158142,2021-03-31,35,128501.0,63826
2021-02-25,1.8978999853134155,2021-03-31,34,133927.0,63435
2021-02-26,1.84309995174408,2021-03-31,33,136975.0,72249
2021-03-01,1.819200038909912,2021-03-31,30,134972.0,75452
2021-03-02,1.8080999851226809,2021-03-31,29,135697.0,56893
2021-03-03,1.8357000350952148,2021-03-31,28,131324.0,73880
2021-03-04,1.8960000276565552,2021-03-31,27,127608.0,74729
2021-03-05,1.944000005722046,2021-03-31,26,114418.0,82231
2021-03-08,1.9084999561309808,2021-03-31,23,102558.0,72304
2021-03-09,1.9072999954223635,2021-03-31,22,99145.0,62962
2021-03-10,1.91729998588562,2021-03-31,21,94680.0,64494
2021-03-11,1.959400057792664,2021-03-31,20,92747.0,56669
2021-03-12,1.9674999713897705,2021-03-31,19,87724.0,59893
2021-03-15,1.9488999843597408,2021-03-31,16,82034.0,44493
2021-03-16,1.9327000379562376,2021-03-31,15,77631.0,31514
2021-03-17,1.906100034713745,2021-03-31,14,67164.0,55249
2021-03-18,1.7841999530792236,2021-03-31,13,61862.0,47152
2021-03-19,1.8222999572753904,2021-03-31,12,50085.0,42412
2021-03-22,1.829300045967102,2021-03-31,9,44576.0,23772
2021-03-23,1.748900055885315,2021-03-31,8,39651.0,25951
2021-03-24,1.825600028038025,2021-03-31,7,32569.0,23150
2021-03-25,1.7477999925613403,2021-03-31,6,23358.0,24680
2021-03-26,1.809999942779541,2021-03-31,5,17196.0,19789
2021-03-29,1.8098000288009644,2021-03-31,2,9895.0,17114
2021-03-30,1.789199948310852,2021-03-31,1,1986.0,15224
2021-03-31,1.771299958229065,2021-03-31,0,234.0,2937
