date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2021-10-26,2.435699939727783,2022-05-31,217,12251.0,2320
2021-10-27,2.3901000022888184,2022-05-31,216,12550.0,3055
2021-10-28,2.3696000576019287,2022-05-31,215,12632.0,2781
2021-10-29,2.365499973297119,2022-05-31,214,12480.0,2660
2021-11-01,2.391700029373169,2022-05-31,211,12417.0,4254
2021-11-02,2.402100086212158,2022-05-31,210,12169.0,5196
2021-11-03,2.33270001411438,2022-05-31,209,11538.0,7228
2021-11-04,2.3118999004364014,2022-05-31,208,12362.0,8539
2021-11-05,2.3561999797821045,2022-05-31,207,13041.0,6668
2021-11-08,2.362099885940552,2022-05-31,204,13687.0,4436
2021-11-09,2.3987998962402344,2022-05-31,203,14095.0,6114
2021-11-10,2.3424999713897705,2022-05-31,202,14951.0,7975
2021-11-11,2.3559999465942383,2022-05-31,201,14899.0,7494
2021-11-12,2.3397998809814453,2022-05-31,200,15026.0,3167
2021-11-15,2.3420000076293945,2022-05-31,197,15940.0,6107
2021-11-16,2.3508999347686768,2022-05-31,196,16106.0,2431
2021-11-17,2.301300048828125,2022-05-31,195,16913.0,3248
2021-11-18,2.316800117492676,2022-05-31,194,16997.0,4134
2021-11-19,2.247499942779541,2022-05-31,193,17796.0,7921
2021-11-22,2.2883999347686768,2022-05-31,190,18318.0,4130
2021-11-23,2.35349988937378,2022-05-31,189,17583.0,11153
2021-11-24,2.344300031661988,2022-05-31,188,17503.0,3515
2021-11-26,2.0917999744415283,2022-05-31,186,19243.0,8647
2021-11-29,2.140899896621704,2022-05-31,183,18915.0,8416
2021-11-30,2.0485999584198,2022-05-31,182,19560.0,8272
2021-12-01,2.051300048828125,2022-05-31,181,19222.0,7177
2021-12-02,2.057800054550171,2022-05-31,180,19094.0,12015
2021-12-03,2.051100015640259,2022-05-31,179,20076.0,7280
2021-12-06,2.129699945449829,2022-05-31,176,19755.0,6679
2021-12-07,2.1868999004364014,2022-05-31,175,20806.0,9286
2021-12-08,2.2332000732421875,2022-05-31,174,20841.0,8604
2021-12-09,2.215399980545044,2022-05-31,173,20737.0,9055
2021-12-10,2.2272000312805176,2022-05-31,172,20583.0,5858
2021-12-13,2.20740008354187,2022-05-31,169,20897.0,5665
2021-12-14,2.1953999996185303,2022-05-31,168,20809.0,3730
2021-12-15,2.200599908828736,2022-05-31,167,20366.0,5643
2021-12-16,2.246400117874145,2022-05-31,166,20497.0,4600
2021-12-17,2.20009994506836,2022-05-31,165,20251.0,4802
2021-12-20,2.160099983215332,2022-05-31,162,19798.0,6580
2021-12-21,2.2249999046325684,2022-05-31,161,19930.0,4182
2021-12-22,2.250099897384644,2022-05-31,160,19499.0,6415
2021-12-23,2.2792000770568848,2022-05-31,159,19770.0,5346
2021-12-27,2.3132998943328857,2022-05-31,155,19567.0,3145
2021-12-28,2.330199956893921,2022-05-31,154,19701.0,2553
2021-12-29,2.3464999198913574,2022-05-31,153,19596.0,3969
2021-12-30,2.364500045776367,2022-05-31,152,19676.0,3019
2021-12-31,2.3066999912261963,2022-05-31,151,19399.0,4757
