date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2015-11-16,46.75,2016-06-21,218,29959.0,4629
2015-11-17,45.84000015258789,2016-06-21,217,30681.0,6938
2015-11-18,46.27999877929688,2016-06-21,216,30687.0,3766
2015-11-19,46.209999084472656,2016-06-21,215,31025.0,10386
2015-11-20,46.560001373291016,2016-06-21,214,32714.0,8186
2015-11-23,46.790000915527344,2016-06-21,211,32757.0,6400
2015-11-24,48.130001068115234,2016-06-21,210,34012.0,9053
2015-11-25,48.11000061035156,2016-06-21,209,33441.0,7763
2015-11-27,46.84999847412109,2016-06-21,207,33726.0,4544
2015-11-30,46.5099983215332,2016-06-21,204,33189.0,4404
2015-12-01,46.560001373291016,2016-06-21,203,33709.0,3891
2015-12-02,45.29999923706055,2016-06-21,202,34727.0,5814
2015-12-03,46.22999954223633,2016-06-21,201,34645.0,6178
2015-12-04,45.27999877929688,2016-06-21,200,35693.0,8647
2015-12-07,43.310001373291016,2016-06-21,197,36195.0,17941
2015-12-08,42.95000076293945,2016-06-21,196,35196.0,16560
2015-12-09,42.810001373291016,2016-06-21,195,35640.0,14841
2015-12-10,42.97999954223633,2016-06-21,194,36454.0,17399
2015-12-11,41.77000045776367,2016-06-21,193,38334.0,16574
2015-12-14,41.58000183105469,2016-06-21,190,39118.0,12650
2015-12-15,42.27000045776367,2016-06-21,189,39860.0,7304
2015-12-16,40.970001220703125,2016-06-21,188,40942.0,10039
2015-12-17,40.65999984741211,2016-06-21,187,39872.0,9078
2015-12-18,40.33000183105469,2016-06-21,186,39956.0,6618
2015-12-21,39.79999923706055,2016-06-21,183,39152.0,7897
2015-12-22,39.70000076293945,2016-06-21,182,39765.0,7341
2015-12-23,40.88999938964844,2016-06-21,181,40769.0,8275
2015-12-24,41.77999877929688,2016-06-21,180,40718.0,2312
2015-12-28,40.59999847412109,2016-06-21,176,41016.0,2494
2015-12-29,41.540000915527344,2016-06-21,175,40938.0,3304
2015-12-30,40.47999954223633,2016-06-21,174,41485.0,3479
2015-12-31,41.33000183105469,2016-06-21,173,42094.0,6852
2016-01-04,41.18999862670898,2016-06-21,169,42721.0,12511
2016-01-05,40.61000061035156,2016-06-21,168,42661.0,11611
2016-01-06,38.88999938964844,2016-06-21,167,42677.0,11978
2016-01-07,38.31999969482422,2016-06-21,166,43349.0,13716
2016-01-08,38.27000045776367,2016-06-21,165,43880.0,15906
2016-01-11,36.54999923706055,2016-06-21,162,44061.0,17150
2016-01-12,35.40999984741211,2016-06-21,161,43109.0,19931
2016-01-13,34.83000183105469,2016-06-21,160,44157.0,21406
2016-01-14,35.68000030517578,2016-06-21,159,43465.0,22307
2016-01-15,33.86000061035156,2016-06-21,158,44406.0,11460
2016-01-19,33.310001373291016,2016-06-21,154,45829.0,20994
2016-01-20,32.540000915527344,2016-06-21,153,48649.0,24243
2016-01-21,33.619998931884766,2016-06-21,152,50279.0,20969
2016-01-22,36.43999862670898,2016-06-21,151,52157.0,22132
2016-01-25,35.09000015258789,2016-06-21,148,54357.0,23941
2016-01-26,36.119998931884766,2016-06-21,147,54764.0,24717
2016-01-27,36.97999954223633,2016-06-21,146,58236.0,31234
2016-01-28,37.95000076293945,2016-06-21,145,59105.0,25906
2016-01-29,38.9900016784668,2016-06-21,144,64565.0,30033
2016-02-01,37.27000045776367,2016-06-21,141,66638.0,36581
2016-02-02,35.779998779296875,2016-06-21,140,66612.0,30046
2016-02-03,37.709999084472656,2016-06-21,139,66695.0,39265
2016-02-04,37.38999938964844,2016-06-21,138,68997.0,37306
2016-02-05,37.09999847412109,2016-06-21,137,70708.0,30413
2016-02-08,36.11000061035156,2016-06-21,134,71238.0,35764
2016-02-09,33.77000045776367,2016-06-21,133,75510.0,46242
2016-02-10,34.060001373291016,2016-06-21,132,78142.0,48137
2016-02-11,33.279998779296875,2016-06-21,131,79158.0,47705
2016-02-12,36.2400016784668,2016-06-21,130,78654.0,31858
2016-02-16,34.88999938964844,2016-06-21,126,81993.0,40728
2016-02-17,36.90999984741211,2016-06-21,125,84835.0,37954
2016-02-18,36.65999984741211,2016-06-21,124,87910.0,29532
2016-02-19,35.5,2016-06-21,123,85733.0,29375
2016-02-22,37.040000915527344,2016-06-21,120,83807.0,43186
2016-02-23,35.779998779296875,2016-06-21,119,82406.0,26712
2016-02-24,36.43999862670898,2016-06-21,118,82686.0,33468
2016-02-25,37.04999923706055,2016-06-21,117,83096.0,36166
2016-02-26,36.720001220703125,2016-06-21,116,82845.0,35345
2016-02-29,37.790000915527344,2016-06-21,113,85639.0,32651
2016-03-01,38.11000061035156,2016-06-21,112,87960.0,36426
2016-03-02,38.18000030517578,2016-06-21,111,88676.0,32004
2016-03-03,38.34999847412109,2016-06-21,110,91439.0,45656
2016-03-04,39.869998931884766,2016-06-21,109,93677.0,30253
2016-03-07,41.91999816894531,2016-06-21,106,95625.0,41398
2016-03-08,40.459999084472656,2016-06-21,105,94644.0,33547
2016-03-09,41.869998931884766,2016-06-21,104,93300.0,41887
2016-03-10,41.0,2016-06-21,103,93610.0,50979
2016-03-11,41.650001525878906,2016-06-21,102,98420.0,50166
2016-03-14,40.52000045776367,2016-06-21,99,100953.0,29362
2016-03-15,39.7599983215332,2016-06-21,98,101036.0,29784
2016-03-16,41.459999084472656,2016-06-21,97,103247.0,31727
2016-03-17,42.959999084472656,2016-06-21,96,103505.0,40955
2016-03-18,42.68000030517578,2016-06-21,95,104367.0,69634
2016-03-21,43.040000915527344,2016-06-21,92,102160.0,35496
2016-03-22,43.130001068115234,2016-06-21,91,102599.0,57606
2016-03-23,41.630001068115234,2016-06-21,90,101203.0,49597
2016-03-24,41.40999984741211,2016-06-21,89,98163.0,56345
2016-03-28,41.290000915527344,2016-06-21,85,98696.0,17698
2016-03-29,40.33000183105469,2016-06-21,84,101202.0,35502
2016-03-30,40.54999923706055,2016-06-21,83,100448.0,45099
2016-03-31,40.68999862670898,2016-06-21,82,106752.0,57712
2016-04-01,39.16999816894531,2016-06-21,81,113355.0,46233
2016-04-04,37.970001220703125,2016-06-21,78,116531.0,69481
2016-04-05,37.9900016784668,2016-06-21,77,121642.0,51673
2016-04-06,39.869998931884766,2016-06-21,76,131415.0,99517
2016-04-07,39.36000061035156,2016-06-21,75,145115.0,92590
2016-04-08,41.86000061035156,2016-06-21,74,168417.0,135410
2016-04-11,42.65999984741211,2016-06-21,71,186015.0,121723
2016-04-12,44.34999847412109,2016-06-21,70,209605.0,137496
2016-04-13,43.84000015258789,2016-06-21,69,224887.0,122936
2016-04-14,43.45000076293945,2016-06-21,68,229845.0,75277
2016-04-15,42.540000915527344,2016-06-21,67,240139.0,126963
2016-04-18,42.060001373291016,2016-06-21,64,244314.0,82185
2016-04-19,43.31999969482422,2016-06-21,63,249493.0,121088
2016-04-20,45.02000045776367,2016-06-21,62,253305.0,136113
2016-04-21,43.97999954223633,2016-06-21,61,253053.0,130962
2016-04-22,44.540000915527344,2016-06-21,60,247361.0,88095
2016-04-25,43.59000015258789,2016-06-21,57,254163.0,128815
2016-04-26,44.88999938964844,2016-06-21,56,255549.0,116896
2016-04-27,46.20000076293945,2016-06-21,55,255890.0,124341
2016-04-28,46.869998931884766,2016-06-21,54,261543.0,110355
2016-04-29,46.68999862670898,2016-06-21,53,268783.0,134085
2016-05-02,45.47999954223633,2016-06-21,50,279097.0,106142
2016-05-03,44.40999984741211,2016-06-21,49,275958.0,172284
2016-05-04,44.41999816894531,2016-06-21,48,273184.0,218772
2016-05-05,44.90999984741211,2016-06-21,47,278007.0,195466
2016-05-06,45.31999969482422,2016-06-21,46,319361.0,241309
2016-05-09,44.02999877929688,2016-06-21,43,354023.0,293116
2016-05-10,45.34999847412109,2016-06-21,42,380546.0,257108
2016-05-11,47.0099983215332,2016-06-21,41,422527.0,358584
2016-05-12,47.45000076293945,2016-06-21,40,452690.0,280262
2016-05-13,46.900001525878906,2016-06-21,39,468552.0,191049
2016-05-16,48.41999816894531,2016-06-21,36,492904.0,273392
2016-05-17,48.9900016784668,2016-06-21,35,509119.0,313961
2016-05-18,48.77999877929688,2016-06-21,34,518172.0,522016
2016-05-19,48.66999816894531,2016-06-21,33,513769.0,620753
2016-05-20,48.40999984741211,2016-06-21,32,517172.0,538047
2016-05-23,48.08000183105469,2016-06-21,29,526386.0,475453
2016-05-24,48.619998931884766,2016-06-21,28,536438.0,475965
2016-05-25,49.560001373291016,2016-06-21,27,540756.0,550501
2016-05-26,49.47999954223633,2016-06-21,26,527217.0,488465
2016-05-27,49.33000183105469,2016-06-21,25,525695.0,406386
2016-05-31,49.09999847412109,2016-06-21,21,526199.0,476988
2016-06-01,49.0099983215332,2016-06-21,20,510945.0,568839
2016-06-02,49.16999816894531,2016-06-21,19,505632.0,564846
2016-06-03,48.619998931884766,2016-06-21,18,499269.0,481034
2016-06-06,49.68999862670898,2016-06-21,15,499645.0,450472
2016-06-07,50.36000061035156,2016-06-21,14,444584.0,542254
2016-06-08,51.22999954223633,2016-06-21,13,387069.0,656416
2016-06-09,50.560001373291016,2016-06-21,12,308749.0,560723
2016-06-10,49.06999969482422,2016-06-21,11,257331.0,596119
2016-06-13,48.880001068115234,2016-06-21,8,238975.0,506036
2016-06-14,48.4900016784668,2016-06-21,7,182099.0,456144
2016-06-15,48.0099983215332,2016-06-21,6,147544.0,527870
2016-06-16,46.209999084472656,2016-06-21,5,99735.0,507910
2016-06-17,47.97999954223633,2016-06-21,4,63100.0,226653
2016-06-20,49.369998931884766,2016-06-21,1,21454.0,98293
2016-06-21,48.84999847412109,2016-06-21,0,1400.0,30105
