date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2021-04-20,60.27000045776367,2021-11-19,213,311146.0,67753
2021-04-21,59.2599983215332,2021-11-19,212,311326.0,67925
2021-04-22,59.459999084472656,2021-11-19,211,313309.0,43124
2021-04-23,60.06999969482422,2021-11-19,210,312534.0,45524
2021-04-26,59.86000061035156,2021-11-19,207,312907.0,49247
2021-04-27,60.68000030517578,2021-11-19,206,310910.0,50347
2021-04-28,61.45000076293945,2021-11-19,205,313864.0,57216
2021-04-29,62.36000061035156,2021-11-19,204,314946.0,58234
2021-04-30,61.02999877929688,2021-11-19,203,320835.0,65037
2021-05-03,62.0,2021-11-19,200,322291.0,32462
2021-05-04,63.2599983215332,2021-11-19,199,322566.0,58003
2021-05-05,63.310001373291016,2021-11-19,198,323676.0,76125
2021-05-06,62.709999084472656,2021-11-19,197,325960.0,58015
2021-05-07,63.06999969482422,2021-11-19,196,328278.0,61578
2021-05-10,63.220001220703125,2021-11-19,193,331614.0,59768
2021-05-11,63.65999984741211,2021-11-19,192,333183.0,64000
2021-05-12,64.44999694824219,2021-11-19,191,328965.0,78843
2021-05-13,62.2400016784668,2021-11-19,190,330209.0,63766
2021-05-14,63.41999816894531,2021-11-19,189,325106.0,60228
2021-05-17,64.1500015258789,2021-11-19,186,324892.0,56719
2021-05-18,63.5099983215332,2021-11-19,185,330710.0,80601
2021-05-19,61.52000045776367,2021-11-19,184,329336.0,82586
2021-05-20,60.310001373291016,2021-11-19,183,326888.0,76248
2021-05-21,61.650001525878906,2021-11-19,182,329438.0,81850
2021-05-24,63.72999954223633,2021-11-19,179,323163.0,78547
2021-05-25,63.720001220703125,2021-11-19,178,321739.0,96744
2021-05-26,63.93999862670898,2021-11-19,177,321400.0,52482
2021-05-27,64.44999694824219,2021-11-19,176,322402.0,55636
2021-05-28,63.90999984741211,2021-11-19,175,318964.0,72670
2021-06-01,65.29000091552734,2021-11-19,171,320013.0,85048
2021-06-02,66.30000305175781,2021-11-19,170,317296.0,59155
2021-06-03,66.27999877929688,2021-11-19,169,315974.0,46758
2021-06-04,66.93000030517578,2021-11-19,168,315259.0,50973
2021-06-07,66.76000213623047,2021-11-19,165,313322.0,46434
2021-06-08,67.4800033569336,2021-11-19,164,311414.0,62913
2021-06-09,67.44000244140625,2021-11-19,163,307092.0,62408
2021-06-10,67.61000061035156,2021-11-19,162,303854.0,71953
2021-06-11,67.83999633789062,2021-11-19,161,300340.0,101178
2021-06-14,68.0,2021-11-19,158,298406.0,60276
2021-06-15,68.87999725341797,2021-11-19,157,300590.0,80788
2021-06-16,69.0199966430664,2021-11-19,156,304640.0,95563
2021-06-17,67.72000122070312,2021-11-19,155,296856.0,94983
2021-06-18,68.06999969482422,2021-11-19,154,302577.0,71926
2021-06-21,69.27999877929688,2021-11-19,151,308899.0,115258
2021-06-22,69.41999816894531,2021-11-19,150,306070.0,92048
2021-06-23,69.83000183105469,2021-11-19,149,308857.0,76402
2021-06-24,70.22000122070312,2021-11-19,148,309924.0,51586
2021-06-25,70.73999786376953,2021-11-19,147,312241.0,69834
2021-06-28,69.77999877929688,2021-11-19,144,313280.0,58245
2021-06-29,69.91000366210938,2021-11-19,143,316148.0,50923
2021-06-30,70.12999725341797,2021-11-19,142,320308.0,65968
2021-07-01,71.22000122070312,2021-11-19,141,325196.0,145617
2021-07-02,71.44999694824219,2021-11-19,140,321088.0,77321
2021-07-06,69.58000183105469,2021-11-19,136,313100.0,162953
2021-07-07,68.63999938964844,2021-11-19,135,310760.0,110744
2021-07-08,69.36000061035156,2021-11-19,134,313236.0,85018
2021-07-09,70.79000091552734,2021-11-19,133,309082.0,73342
2021-07-12,70.58000183105469,2021-11-19,130,311693.0,66779
2021-07-13,71.9000015258789,2021-11-19,129,313453.0,96992
2021-07-14,70.20999908447266,2021-11-19,128,310523.0,104572
2021-07-15,69.16000366210938,2021-11-19,127,308677.0,95010
2021-07-16,69.41000366210938,2021-11-19,126,307297.0,72260
2021-07-19,64.55000305175781,2021-11-19,123,307600.0,133887
2021-07-20,65.33999633789062,2021-11-19,122,303949.0,122473
2021-07-21,68.05000305175781,2021-11-19,121,301206.0,110121
2021-07-22,69.4000015258789,2021-11-19,120,295911.0,94425
2021-07-23,69.66000366210938,2021-11-19,119,291835.0,51709
2021-07-26,69.73999786376953,2021-11-19,116,293386.0,66768
2021-07-27,69.5999984741211,2021-11-19,115,292600.0,63059
2021-07-28,70.16999816894531,2021-11-19,114,293014.0,56246
2021-07-29,71.37999725341797,2021-11-19,113,295595.0,63242
2021-07-30,71.56999969482422,2021-11-19,112,295097.0,66073
2021-08-02,69.1500015258789,2021-11-19,109,296026.0,74048
2021-08-03,68.79000091552734,2021-11-19,108,288265.0,98019
2021-08-04,66.83999633789062,2021-11-19,107,273889.0,138548
2021-08-05,67.83999633789062,2021-11-19,106,271269.0,81324
2021-08-06,67.37000274658203,2021-11-19,105,276389.0,109275
2021-08-09,65.62000274658203,2021-11-19,102,276488.0,118105
2021-08-10,67.23999786376953,2021-11-19,101,271776.0,91677
2021-08-11,68.18000030517578,2021-11-19,100,274337.0,87757
2021-08-12,68.11000061035156,2021-11-19,99,275700.0,70195
2021-08-13,67.41000366210938,2021-11-19,98,277332.0,58746
2021-08-16,66.29000091552734,2021-11-19,95,277415.0,71712
2021-08-17,65.5999984741211,2021-11-19,94,275636.0,66470
