date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2019-08-16,52.650001525878906,2020-03-20,217,41227.0,8018
2019-08-19,53.630001068115234,2020-03-20,214,40012.0,7711
2019-08-20,53.81999969482422,2020-03-20,213,39962.0,9754
2019-08-21,53.88999938964844,2020-03-20,212,40612.0,10229
2019-08-22,53.59999847412109,2020-03-20,211,40263.0,10492
2019-08-23,52.58000183105469,2020-03-20,210,40391.0,4984
2019-08-26,52.09999847412109,2020-03-20,207,40377.0,2604
2019-08-27,53.20000076293945,2020-03-20,206,40738.0,3388
2019-08-28,53.91999816894531,2020-03-20,205,40134.0,12877
2019-08-29,54.45000076293945,2020-03-20,204,40777.0,11605
2019-08-30,53.09999847412109,2020-03-20,203,41003.0,8001
2019-09-03,52.2400016784668,2020-03-20,199,41126.0,7438
2019-09-04,54.43000030517578,2020-03-20,198,41606.0,7156
2019-09-05,54.459999084472656,2020-03-20,197,42356.0,9537
2019-09-06,54.7400016784668,2020-03-20,196,51386.0,18096
2019-09-09,55.77999877929688,2020-03-20,193,52655.0,12941
2019-09-10,55.380001068115234,2020-03-20,192,52715.0,13074
2019-09-11,54.119998931884766,2020-03-20,191,53127.0,15113
2019-09-12,53.66999816894531,2020-03-20,190,55148.0,16035
2019-09-13,53.290000915527344,2020-03-20,189,55316.0,6640
2019-09-16,58.45000076293945,2020-03-20,186,60635.0,45078
2019-09-17,56.02999877929688,2020-03-20,185,60839.0,20580
2019-09-18,55.540000915527344,2020-03-20,184,59714.0,15773
2019-09-19,55.84999847412109,2020-03-20,183,60396.0,20671
2019-09-20,55.84000015258789,2020-03-20,182,60825.0,12428
2019-09-23,56.41999816894531,2020-03-20,179,61638.0,9701
2019-09-24,55.13999938964844,2020-03-20,178,61156.0,11524
2019-09-25,54.540000915527344,2020-03-20,177,61442.0,8974
2019-09-26,54.45000076293945,2020-03-20,176,61477.0,9800
2019-09-27,54.0,2020-03-20,175,62325.0,8835
2019-09-30,52.4900016784668,2020-03-20,172,62982.0,8119
2019-10-01,52.150001525878906,2020-03-20,171,63482.0,14316
