date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2021-01-20,51.720001220703125,2021-08-20,212,94536.0,21354
2021-01-21,51.65999984741211,2021-08-20,211,95041.0,13209
2021-01-22,50.93000030517578,2021-08-20,210,95200.0,18207
2021-01-25,51.33000183105469,2021-08-20,207,94918.0,13757
2021-01-26,51.16999816894531,2021-08-20,206,95424.0,11108
2021-01-27,51.29999923706055,2021-08-20,205,93684.0,19944
2021-01-28,50.84000015258789,2021-08-20,204,93588.0,11896
2021-01-29,50.66999816894531,2021-08-20,203,94699.0,12501
2021-02-01,51.869998931884766,2021-08-20,200,98192.0,25048
2021-02-02,52.84000015258789,2021-08-20,199,102020.0,30598
2021-02-03,53.630001068115234,2021-08-20,198,107341.0,35203
2021-02-04,54.040000915527344,2021-08-20,197,113958.0,33310
2021-02-05,54.58000183105469,2021-08-20,196,115033.0,20190
2021-02-08,55.61000061035156,2021-08-20,193,115989.0,31243
2021-02-09,55.970001220703125,2021-08-20,192,117354.0,37922
2021-02-10,56.27999877929688,2021-08-20,191,113553.0,37302
2021-02-11,55.93000030517578,2021-08-20,190,116236.0,23588
2021-02-12,56.86000061035156,2021-08-20,189,117767.0,37145
2021-02-16,57.560001373291016,2021-08-20,185,119193.0,48488
2021-02-17,58.150001525878906,2021-08-20,184,117821.0,40697
2021-02-18,57.7400016784668,2021-08-20,183,117346.0,41331
2021-02-19,56.91999816894531,2021-08-20,182,112768.0,63826
2021-02-22,58.90999984741211,2021-08-20,179,115249.0,44441
2021-02-23,59.06999969482422,2021-08-20,178,113295.0,32571
2021-02-24,60.63999938964844,2021-08-20,177,113316.0,30202
2021-02-25,60.7400016784668,2021-08-20,176,116654.0,29831
2021-02-26,58.810001373291016,2021-08-20,175,115905.0,23018
2021-03-01,58.11000061035156,2021-08-20,172,115053.0,32455
2021-03-02,57.5099983215332,2021-08-20,171,112245.0,30233
2021-03-03,58.93999862670898,2021-08-20,170,113358.0,32081
2021-03-04,61.06999969482422,2021-08-20,169,108928.0,68917
2021-03-05,63.29999923706055,2021-08-20,168,109957.0,47220
2021-03-08,62.54999923706055,2021-08-20,165,110467.0,28131
2021-03-09,61.959999084472656,2021-08-20,164,113967.0,45655
2021-03-10,62.27999877929688,2021-08-20,163,117176.0,36576
2021-03-11,63.70000076293945,2021-08-20,162,119694.0,31108
2021-03-12,63.47999954223633,2021-08-20,161,121922.0,21193
2021-03-15,63.36000061035156,2021-08-20,158,125273.0,22844
2021-03-16,63.02000045776367,2021-08-20,157,124544.0,27845
