date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2021-03-02,1.792199969291687,2021-09-30,212,9093.0,1745
2021-03-03,1.824100017547608,2021-09-30,211,9296.0,1158
2021-03-04,1.8819999694824217,2021-09-30,210,9488.0,1551
2021-03-05,1.9311000108718872,2021-09-30,209,9737.0,4529
2021-03-08,1.9067000150680544,2021-09-30,206,9778.0,2406
2021-03-09,1.9007999897003167,2021-09-30,205,9935.0,1567
2021-03-10,1.913699984550476,2021-09-30,204,10235.0,2042
2021-03-11,1.9498000144958496,2021-09-30,203,10509.0,2160
2021-03-12,1.952200055122376,2021-09-30,202,11009.0,2118
2021-03-15,1.9378000497817995,2021-09-30,199,11274.0,1710
2021-03-16,1.926800012588501,2021-09-30,198,11715.0,1511
2021-03-17,1.909199953079224,2021-09-30,197,11591.0,2237
2021-03-18,1.7965999841690063,2021-09-30,196,12061.0,4777
2021-03-19,1.830399990081787,2021-09-30,195,12439.0,2642
2021-03-22,1.8413000106811523,2021-09-30,192,13038.0,2394
2021-03-23,1.7649999856948853,2021-09-30,191,13381.0,2973
2021-03-24,1.8380999565124512,2021-09-30,190,13633.0,2553
2021-03-25,1.7664999961853027,2021-09-30,189,13434.0,2208
2021-03-26,1.8257999420166016,2021-09-30,188,13418.0,1601
2021-03-29,1.8270000219345093,2021-09-30,185,13507.0,1463
2021-03-30,1.807500004768372,2021-09-30,184,13463.0,1154
2021-03-31,1.7870999574661257,2021-09-30,183,13334.0,1504
2021-04-01,1.847000002861023,2021-09-30,182,13238.0,1680
2021-04-02,1.847000002861023,2021-09-30,181,13238.0,0
2021-04-05,1.7888000011444092,2021-09-30,178,13008.0,1509
2021-04-06,1.8092000484466555,2021-09-30,177,12983.0,1336
2021-04-07,1.822100043296814,2021-09-30,176,13314.0,2033
2021-04-08,1.82509994506836,2021-09-30,175,14009.0,2689
2021-04-09,1.8244999647140503,2021-09-30,174,14331.0,1988
2021-04-12,1.8249000310897827,2021-09-30,171,14275.0,1622
2021-04-13,1.833299994468689,2021-09-30,170,14174.0,2155
2021-04-14,1.90559995174408,2021-09-30,169,14255.0,1806
2021-04-15,1.912700057029724,2021-09-30,168,14184.0,1246
2021-04-16,1.9103000164031985,2021-09-30,167,14804.0,1615
2021-04-19,1.9078999757766724,2021-09-30,164,14991.0,1970
2021-04-20,1.896299958229065,2021-09-30,163,15420.0,3635
2021-04-21,1.8702000379562376,2021-09-30,162,15567.0,1227
