date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2020-08-17,44.7599983215332,2021-03-22,217,43671.0,3527
2020-08-18,44.77000045776367,2021-03-22,216,43687.0,1794
2020-08-19,44.720001220703125,2021-03-22,215,43674.0,2035
2020-08-20,44.470001220703125,2021-03-22,214,43430.0,2788
2020-08-21,44.0,2021-03-22,213,43783.0,2081
2020-08-24,44.41999816894531,2021-03-22,210,43957.0,5849
2020-08-25,44.959999084472656,2021-03-22,209,44374.0,8702
2020-08-26,45.02000045776367,2021-03-22,208,44731.0,3804
2020-08-27,44.59999847412109,2021-03-22,207,45276.0,4640
2020-08-28,44.7400016784668,2021-03-22,206,45447.0,2528
2020-08-31,44.27999877929688,2021-03-22,203,45534.0,2854
2020-09-01,44.56999969482422,2021-03-22,202,47434.0,9854
2020-09-02,43.56999969482422,2021-03-22,201,46890.0,7890
2020-09-03,43.5099983215332,2021-03-22,200,47055.0,5345
2020-09-04,42.20000076293945,2021-03-22,199,47583.0,5958
2020-09-08,39.5099983215332,2021-03-22,195,51169.0,22866
2020-09-09,40.54999923706055,2021-03-22,194,49314.0,18412
2020-09-10,39.93000030517578,2021-03-22,193,50929.0,15961
2020-09-11,39.84999847412109,2021-03-22,192,51376.0,5040
2020-09-14,39.77999877929688,2021-03-22,189,53437.0,12549
2020-09-15,40.63999938964844,2021-03-22,188,54389.0,13042
2020-09-16,42.150001525878906,2021-03-22,187,54829.0,11918
2020-09-17,42.81999969482422,2021-03-22,186,53593.0,8519
2020-09-18,42.810001373291016,2021-03-22,185,53358.0,4290
2020-09-21,41.16999816894531,2021-03-22,182,52704.0,7798
2020-09-22,41.34999847412109,2021-03-22,181,56147.0,16093
2020-09-23,41.459999084472656,2021-03-22,180,55617.0,5872
2020-09-24,41.869998931884766,2021-03-22,179,57046.0,19788
2020-09-25,41.7400016784668,2021-03-22,178,56970.0,6693
2020-09-28,42.11000061035156,2021-03-22,175,56208.0,7500
2020-09-29,40.880001068115234,2021-03-22,174,56319.0,9912
2020-09-30,41.77999877929688,2021-03-22,173,53278.0,17932
2020-10-01,40.47999954223633,2021-03-22,172,54089.0,21758
2020-10-02,38.91999816894531,2021-03-22,171,55818.0,12491
2020-10-05,40.97999954223633,2021-03-22,168,55432.0,15921
2020-10-06,42.22999954223633,2021-03-22,167,57650.0,14927
2020-10-07,41.56999969482422,2021-03-22,166,57097.0,10707
2020-10-08,42.68000030517578,2021-03-22,165,58321.0,20209
2020-10-09,42.15999984741211,2021-03-22,164,59153.0,10383
2020-10-12,41.119998931884766,2021-03-22,161,57558.0,9975
2020-10-13,41.79999923706055,2021-03-22,160,60370.0,9841
2020-10-14,42.47999954223633,2021-03-22,159,59903.0,10669
2020-10-15,42.31999969482422,2021-03-22,158,60760.0,18461
2020-10-16,42.16999816894531,2021-03-22,157,61236.0,7050
2020-10-19,42.130001068115234,2021-03-22,154,58317.0,14231
