date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2021-06-28,2.114300012588501,2022-01-31,217,11789.0,1784
2021-06-29,2.118499994277954,2022-01-31,216,11832.0,1490
2021-06-30,2.1205999851226807,2022-01-31,215,11990.0,1571
2021-07-01,2.144399881362915,2022-01-31,214,12045.0,2334
2021-07-02,2.1675000190734863,2022-01-31,213,12022.0,1267
2021-07-06,2.094599962234497,2022-01-31,209,11709.0,3546
2021-07-07,2.0782999992370605,2022-01-31,208,11522.0,4196
2021-07-08,2.1061999797821045,2022-01-31,207,11433.0,1644
2021-07-09,2.1396000385284424,2022-01-31,206,11238.0,1330
2021-07-12,2.135499954223633,2022-01-31,203,11366.0,1169
2021-07-13,2.1693999767303467,2022-01-31,202,11344.0,2264
2021-07-14,2.129499912261963,2022-01-31,201,11426.0,1834
2021-07-15,2.0989999771118164,2022-01-31,200,11375.0,1476
2021-07-16,2.100300073623657,2022-01-31,199,11402.0,1640
2021-07-19,1.972900032997132,2022-01-31,196,11609.0,2792
2021-07-20,1.9993000030517576,2022-01-31,195,11576.0,3295
2021-07-21,2.0706000328063965,2022-01-31,194,10964.0,2641
2021-07-22,2.111500024795532,2022-01-31,193,10879.0,1471
2021-07-23,2.113800048828125,2022-01-31,192,10599.0,1907
2021-07-26,2.129600048065185,2022-01-31,189,10696.0,2342
2021-07-27,2.125999927520752,2022-01-31,188,10202.0,4481
2021-07-28,2.138799905776977,2022-01-31,187,10113.0,920
2021-07-29,2.173799991607666,2022-01-31,186,10198.0,1787
2021-07-30,2.178499937057495,2022-01-31,185,11011.0,2311
2021-08-02,2.121000051498413,2022-01-31,182,11505.0,1790
2021-08-03,2.115799903869629,2022-01-31,181,11949.0,3719
2021-08-04,2.06879997253418,2022-01-31,180,12301.0,2581
2021-08-05,2.1006999015808105,2022-01-31,179,12020.0,3637
2021-08-06,2.08240008354187,2022-01-31,178,11980.0,2705
2021-08-09,2.0374999046325684,2022-01-31,175,12106.0,3207
2021-08-10,2.0729000568389893,2022-01-31,174,12067.0,1328
2021-08-11,2.0992000102996826,2022-01-31,173,11876.0,1901
2021-08-12,2.097399950027466,2022-01-31,172,11879.0,1580
2021-08-13,2.071799993515014,2022-01-31,171,11705.0,1597
2021-08-16,2.04229998588562,2022-01-31,168,11801.0,2611
2021-08-17,2.030100107192993,2022-01-31,167,11898.0,2500
