date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2018-04-19,65.0999984741211,2018-11-19,214,267706.0,104222
2018-04-20,65.27999877929688,2018-11-19,213,261651.0,58074
2018-04-23,65.69000244140625,2018-11-19,210,267570.0,72058
2018-04-24,64.97000122070312,2018-11-19,209,279810.0,117141
2018-04-25,65.33999633789062,2018-11-19,208,282686.0,71444
2018-04-26,65.56999969482422,2018-11-19,207,287835.0,82658
2018-04-27,65.43000030517578,2018-11-19,206,287952.0,57167
2018-04-30,65.98999786376953,2018-11-19,203,289276.0,89281
2018-05-01,64.76000213623047,2018-11-19,202,290282.0,80626
2018-05-02,65.18000030517578,2018-11-19,201,295925.0,73606
2018-05-03,65.62000274658203,2018-11-19,200,296145.0,72379
2018-05-04,67.01000213623047,2018-11-19,199,298937.0,76144
2018-05-07,68.16999816894531,2018-11-19,196,298155.0,83204
2018-05-08,66.69000244140625,2018-11-19,195,299416.0,121056
2018-05-09,68.70999908447266,2018-11-19,194,303649.0,99195
2018-05-10,69.19999694824219,2018-11-19,193,310223.0,77883
2018-05-11,68.80999755859375,2018-11-19,192,316135.0,86935
2018-05-14,69.20999908447266,2018-11-19,189,313597.0,84300
2018-05-15,69.33999633789062,2018-11-19,188,321527.0,122875
2018-05-16,69.55999755859375,2018-11-19,187,319814.0,86520
2018-05-17,69.4000015258789,2018-11-19,186,322051.0,108415
2018-05-18,69.11000061035156,2018-11-19,185,316353.0,84266
2018-05-21,69.94000244140625,2018-11-19,182,313630.0,80257
2018-05-22,70.04000091552734,2018-11-19,181,308844.0,79298
2018-05-23,69.87000274658203,2018-11-19,180,305651.0,89216
2018-05-24,68.79000091552734,2018-11-19,179,307888.0,76377
2018-05-25,66.36000061035156,2018-11-19,178,295278.0,134842
2018-05-29,65.20999908447266,2018-11-19,174,296803.0,120289
2018-05-30,66.44000244140625,2018-11-19,173,293289.0,90685
2018-05-31,65.5199966430664,2018-11-19,172,296964.0,141202
2018-06-01,64.77999877929688,2018-11-19,171,288236.0,136214
2018-06-04,63.90999984741211,2018-11-19,168,285216.0,96873
2018-06-05,64.47000122070312,2018-11-19,167,289080.0,120985
2018-06-06,63.95000076293945,2018-11-19,166,284470.0,87877
2018-06-07,64.94999694824219,2018-11-19,165,291028.0,96428
2018-06-08,64.7300033569336,2018-11-19,164,292546.0,64016
2018-06-11,64.97000122070312,2018-11-19,161,291441.0,59787
2018-06-12,65.16000366210938,2018-11-19,160,291016.0,61006
2018-06-13,65.5,2018-11-19,159,287605.0,72888
2018-06-14,65.29000091552734,2018-11-19,158,287796.0,70717
2018-06-15,63.52000045776367,2018-11-19,157,290030.0,99981
2018-06-18,64.30000305175781,2018-11-19,154,291966.0,64502
2018-06-19,63.720001220703125,2018-11-19,153,288625.0,57138
2018-06-20,64.19000244140625,2018-11-19,152,289426.0,70152
2018-06-21,63.54999923706055,2018-11-19,151,292910.0,135144
2018-06-22,65.95999908447266,2018-11-19,150,291984.0,201427
2018-06-25,65.47000122070312,2018-11-19,147,290507.0,116931
2018-06-26,67.16999816894531,2018-11-19,146,298318.0,111719
2018-06-27,68.61000061035156,2018-11-19,145,308073.0,122595
2018-06-28,68.79000091552734,2018-11-19,144,302900.0,122086
2018-06-29,69.48999786376953,2018-11-19,143,305507.0,92403
2018-07-02,67.83000183105469,2018-11-19,140,302564.0,102127
2018-07-03,67.44000244140625,2018-11-19,139,290967.0,111554
2018-07-05,67.62000274658203,2018-11-19,137,291917.0,115110
2018-07-06,68.04000091552734,2018-11-19,136,295763.0,72276
2018-07-09,68.75,2018-11-19,133,296556.0,75543
2018-07-10,69.31999969482422,2018-11-19,132,296429.0,81546
2018-07-11,65.75,2018-11-19,131,297478.0,133372
2018-07-12,66.95999908447266,2018-11-19,130,295153.0,134394
2018-07-13,67.58000183105469,2018-11-19,129,294191.0,85408
2018-07-16,64.70999908447266,2018-11-19,126,289929.0,81807
2018-07-17,64.88999938964844,2018-11-19,125,291985.0,98882
2018-07-18,65.52999877929688,2018-11-19,124,290490.0,63913
2018-07-19,65.5999984741211,2018-11-19,123,293496.0,70937
2018-07-20,65.87000274658203,2018-11-19,122,295045.0,57088
2018-07-23,66.13999938964844,2018-11-19,119,295376.0,77171
2018-07-24,66.47000122070312,2018-11-19,118,294885.0,66915
2018-07-25,67.26000213623047,2018-11-19,117,295023.0,76211
2018-07-26,67.66999816894531,2018-11-19,116,292566.0,58329
2018-07-27,67.04000091552734,2018-11-19,115,291032.0,66568
2018-07-30,68.13999938964844,2018-11-19,112,288586.0,50309
2018-07-31,66.97000122070312,2018-11-19,111,287057.0,59158
2018-08-01,65.77999877929688,2018-11-19,110,289968.0,76305
2018-08-02,66.79000091552734,2018-11-19,109,289265.0,67394
2018-08-03,66.58999633789062,2018-11-19,108,290544.0,42454
2018-08-06,67.0999984741211,2018-11-19,105,290412.0,50387
2018-08-07,67.62000274658203,2018-11-19,104,294320.0,72485
2018-08-08,65.54000091552734,2018-11-19,103,292714.0,100847
