date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2020-07-24,1.3321000337600708,2021-02-26,217,15238.0,881
2020-07-27,1.3375999927520752,2021-02-26,214,15345.0,1883
2020-07-28,1.3295999765396118,2021-02-26,213,15617.0,1270
2020-07-29,1.3413000106811523,2021-02-26,212,15851.0,998
2020-07-30,1.3066999912261963,2021-02-26,211,16140.0,2578
2020-07-31,1.3121000528335571,2021-02-26,210,16377.0,2248
2020-08-03,1.3324999809265137,2021-02-26,207,17038.0,3528
2020-08-04,1.351099967956543,2021-02-26,206,17429.0,4504
2020-08-05,1.360200047492981,2021-02-26,205,17270.0,2330
2020-08-06,1.350100040435791,2021-02-26,204,17090.0,1696
2020-08-07,1.3259999752044678,2021-02-26,203,16895.0,2549
2020-08-10,1.3450000286102295,2021-02-26,200,16423.0,2941
2020-08-11,1.3427000045776367,2021-02-26,199,16143.0,3342
2020-08-12,1.3617000579833984,2021-02-26,198,16055.0,2930
2020-08-13,1.3460999727249146,2021-02-26,197,16359.0,2964
2020-08-14,1.346400022506714,2021-02-26,196,16751.0,3543
2020-08-17,1.3526999950408936,2021-02-26,193,16710.0,2041
2020-08-18,1.3671000003814695,2021-02-26,192,16817.0,1917
2020-08-19,1.357699990272522,2021-02-26,191,17386.0,2408
2020-08-20,1.3485000133514404,2021-02-26,190,17224.0,4628
2020-08-21,1.320099949836731,2021-02-26,189,17497.0,6692
2020-08-24,1.3473000526428225,2021-02-26,186,17577.0,3736
2020-08-25,1.3587000370025637,2021-02-26,185,17591.0,4448
2020-08-26,1.3479000329971311,2021-02-26,184,17717.0,2155
2020-08-27,1.32669997215271,2021-02-26,183,17620.0,4584
2020-08-28,1.3352999687194824,2021-02-26,182,17824.0,2955
2020-08-31,1.3144999742507937,2021-02-26,179,17745.0,2769
2020-09-01,1.3220000267028809,2021-02-26,178,18116.0,4076
2020-09-02,1.2831000089645386,2021-02-26,177,19299.0,5398
2020-09-03,1.2669999599456787,2021-02-26,176,20415.0,10647
2020-09-04,1.245300054550171,2021-02-26,175,20467.0,5882
2020-09-08,1.1706000566482544,2021-02-26,171,21362.0,5613
2020-09-09,1.194499969482422,2021-02-26,170,21302.0,5785
2020-09-10,1.1721999645233154,2021-02-26,169,21471.0,2998
2020-09-11,1.174399971961975,2021-02-26,168,21498.0,4347
2020-09-14,1.1746000051498413,2021-02-26,165,21454.0,4003
2020-09-15,1.1851999759674072,2021-02-26,164,21547.0,3719
2020-09-16,1.2060999870300293,2021-02-26,163,22883.0,7653
2020-09-17,1.2403000593185425,2021-02-26,162,22689.0,4390
2020-09-18,1.236199975013733,2021-02-26,161,23146.0,4406
2020-09-21,1.1884000301361084,2021-02-26,158,22800.0,3659
2020-09-22,1.1812000274658203,2021-02-26,157,23252.0,4119
2020-09-23,1.184399962425232,2021-02-26,156,24296.0,7855
2020-09-24,1.1897000074386597,2021-02-26,155,24313.0,5398
2020-09-25,1.1907999515533447,2021-02-26,154,25653.0,9251
2020-09-28,1.2014000415802002,2021-02-26,151,26303.0,7222
2020-09-29,1.173699975013733,2021-02-26,150,28548.0,9382
2020-09-30,1.2059999704360962,2021-02-26,149,28248.0,10335
2020-10-01,1.1792999505996704,2021-02-26,148,28983.0,11178
2020-10-02,1.1405999660491943,2021-02-26,147,28297.0,12552
2020-10-05,1.1885000467300415,2021-02-26,144,28206.0,6763
2020-10-06,1.236799955368042,2021-02-26,143,27078.0,13069
2020-10-07,1.2121000289916992,2021-02-26,142,28490.0,14089
2020-10-08,1.2404999732971191,2021-02-26,141,28049.0,5389
2020-10-09,1.2372000217437744,2021-02-26,140,28671.0,6625
2020-10-12,1.20360004901886,2021-02-26,137,29601.0,6866
2020-10-13,1.2135000228881836,2021-02-26,136,30549.0,9137
2020-10-14,1.232300043106079,2021-02-26,135,30967.0,8648
2020-10-15,1.2273999452590942,2021-02-26,134,31586.0,10470
2020-10-16,1.2192000150680542,2021-02-26,133,31291.0,9954
2020-10-19,1.20360004901886,2021-02-26,130,33141.0,9805
2020-10-20,1.2166999578475952,2021-02-26,129,34579.0,11578
2020-10-21,1.1868000030517578,2021-02-26,128,32902.0,14555
2020-10-22,1.208199977874756,2021-02-26,127,33135.0,8456
2020-10-23,1.1965999603271484,2021-02-26,126,33539.0,7858
2020-10-26,1.1653000116348269,2021-02-26,123,33359.0,6020
2020-10-27,1.190400004386902,2021-02-26,122,32690.0,9177
2020-10-28,1.1432000398635864,2021-02-26,121,33032.0,10133
2020-10-29,1.1105999946594238,2021-02-26,120,33319.0,19006
2020-10-30,1.1128000020980835,2021-02-26,119,34223.0,11877
2020-11-02,1.1405999660491943,2021-02-26,116,33909.0,17555
2020-11-03,1.1569000482559204,2021-02-26,115,34358.0,14348
2020-11-04,1.2000000476837158,2021-02-26,114,34813.0,11642
2020-11-05,1.1960999965667725,2021-02-26,113,34126.0,13886
2020-11-06,1.1670000553131104,2021-02-26,112,33003.0,12814
2020-11-09,1.245300054550171,2021-02-26,109,33502.0,23132
2020-11-10,1.2821999788284302,2021-02-26,108,32799.0,17945
2020-11-11,1.2802000045776367,2021-02-26,107,31918.0,21689
2020-11-12,1.2689000368118286,2021-02-26,106,32165.0,17711
2020-11-13,1.2404999732971191,2021-02-26,105,34367.0,20159
2020-11-16,1.2640999555587769,2021-02-26,102,34303.0,10972
2020-11-17,1.270799994468689,2021-02-26,101,33749.0,12203
2020-11-18,1.288699984550476,2021-02-26,100,34796.0,19974
2020-11-19,1.2906999588012695,2021-02-26,99,35769.0,19116
2020-11-20,1.3044999837875366,2021-02-26,98,35264.0,19145
2020-11-23,1.3295999765396118,2021-02-26,95,35377.0,14621
2020-11-24,1.377400040626526,2021-02-26,94,36124.0,21675
2020-11-25,1.402400016784668,2021-02-26,93,35615.0,17041
2020-11-27,1.398900032043457,2021-02-26,91,36622.0,8478
2020-11-30,1.3859000205993652,2021-02-26,88,37329.0,12533
2020-12-01,1.364400029182434,2021-02-26,87,37978.0,20262
2020-12-02,1.3825000524520874,2021-02-26,86,37959.0,15663
2020-12-03,1.405500054359436,2021-02-26,85,38651.0,24073
2020-12-04,1.4156999588012695,2021-02-26,84,38681.0,16797
2020-12-07,1.4115999937057495,2021-02-26,81,38701.0,14453
2020-12-08,1.4183000326156616,2021-02-26,80,40143.0,17424
2020-12-09,1.409600019454956,2021-02-26,79,42647.0,20806
2020-12-10,1.4437999725341797,2021-02-26,78,45098.0,19681
2020-12-11,1.444000005722046,2021-02-26,77,45953.0,19516
2020-12-14,1.4596999883651731,2021-02-26,74,46591.0,16796
2020-12-15,1.470900058746338,2021-02-26,73,47259.0,18297
2020-12-16,1.4831000566482544,2021-02-26,72,48682.0,21499
2020-12-17,1.4974000453948977,2021-02-26,71,49534.0,24415
2020-12-18,1.513100028038025,2021-02-26,70,50668.0,25382
2020-12-21,1.4785000085830688,2021-02-26,67,50409.0,24768
