date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2021-11-15,73.61000061035156,2022-06-21,218,46963.0,5286
2021-11-16,73.83999633789062,2022-06-21,217,52048.0,11353
2021-11-17,72.3499984741211,2022-06-21,216,51990.0,27783
2021-11-18,73.56999969482422,2022-06-21,215,52232.0,28104
2021-11-19,71.66999816894531,2022-06-21,214,50195.0,12567
2021-11-22,72.83000183105469,2022-06-21,211,48338.0,17398
2021-11-23,74.80999755859375,2022-06-21,210,52725.0,26380
2021-11-24,74.6500015258789,2022-06-21,209,54795.0,14553
2021-11-26,65.91000366210938,2022-06-21,207,56213.0,17287
2021-11-29,67.80999755859375,2022-06-21,204,56787.0,12932
2021-11-30,64.12999725341797,2022-06-21,203,59817.0,23421
2021-12-01,63.95000076293945,2022-06-21,202,62431.0,14843
2021-12-02,64.94000244140625,2022-06-21,201,63160.0,16608
2021-12-03,65.01000213623047,2022-06-21,200,63465.0,8403
2021-12-06,67.9000015258789,2022-06-21,197,63674.0,7806
2021-12-07,70.26000213623047,2022-06-21,196,63609.0,13837
2021-12-08,70.7699966430664,2022-06-21,195,61924.0,12621
2021-12-09,69.48999786376953,2022-06-21,194,61023.0,9031
2021-12-10,70.04000091552734,2022-06-21,193,61307.0,13444
2021-12-13,69.63999938964844,2022-06-21,190,61218.0,9204
2021-12-14,69.12000274658203,2022-06-21,189,61662.0,9828
2021-12-15,69.06999969482422,2022-06-21,188,59008.0,12285
2021-12-16,70.12999725341797,2022-06-21,187,61402.0,11824
2021-12-17,68.6500015258789,2022-06-21,186,61628.0,4987
2021-12-20,66.93000030517578,2022-06-21,183,62026.0,10052
2021-12-21,69.19999694824219,2022-06-21,182,64052.0,12835
2021-12-22,70.25,2022-06-21,181,63730.0,13740
2021-12-23,71.23999786376953,2022-06-21,180,63405.0,9867
2021-12-27,72.95999908447266,2022-06-21,176,63460.0,13039
2021-12-28,73.38999938964844,2022-06-21,175,64064.0,5829
2021-12-29,74.01000213623047,2022-06-21,174,61921.0,11100
2021-12-30,74.37000274658203,2022-06-21,173,60975.0,8416
2021-12-31,72.77999877929688,2022-06-21,172,60739.0,4134
