date,Open,High,Low,Close,Volume
2015-01-02,170.91171340245012,171.32578382923276,169.08979341546532,170.12496948242188,121465900
2015-01-05,169.08150900161831,169.24713463764604,166.74615846984776,167.0525665283203,169632600
2015-01-06,167.35901221336937,167.88074508876025,164.68412031268113,165.47914123535156,209151400
2015-01-07,166.80415376773578,167.88073956316435,166.35696320099726,167.54119873046875,125346700
2015-01-08,168.9490654962137,170.72957648769642,168.93251177202868,170.51425170898438,147217800
2015-01-09,170.92832553753288,170.94489189846533,168.53499815824603,169.1478271484375,158567300
2015-01-12,169.28030541730055,169.43765422966325,167.21822977118725,167.82276916503906,144396100
2015-01-13,169.04010981735388,170.16638190252374,166.05052078045333,167.3507080078125,214553300
2015-01-14,165.3383066150455,166.53912089108297,164.44392566596335,166.34036254882812,192991100
2015-01-15,166.9780219398798,167.2927068292344,164.70063489819643,164.8165740966797,176613900
2015-01-16,164.60957432299625,167.1354066580678,164.42738230955322,166.97805786132812,211879600
2015-01-20,167.61576295504287,167.8807741873434,165.76901173701117,167.33419799804688,130991100
2015-01-21,166.87042960463523,168.65921739145298,166.40667261614846,168.17889404296875,122942700
2015-01-22,168.9324774316333,170.81234829538025,167.55776041788667,170.6798553466797,174356000
2015-01-23,170.42310275064852,170.6798370329486,169.61152824256558,169.74403381347656,117516800
2015-01-26,169.52867875463753,170.23259072832744,168.81647728710072,170.14149475097656,92009700
2015-01-27,168.08774668633,169.04010359425013,167.06913699508286,167.89727783203125,134044600
2015-01-28,169.0815167400068,169.18088959888624,165.55364124909408,165.74411010742188,168514300
2015-01-29,165.9429221459114,167.53295158450695,164.535072128723,167.27622985839844,173585400
2015-01-30,166.10022536974702,167.4252432198437,164.90770045916094,165.17269897460938,197729700
2015-02-02,165.669581321377,167.30929668351396,163.8559508188736,167.21820068359375,163107000
2015-02-03,168.11263703970548,169.6447030722255,167.73997608586896,169.63641357421875,124212900
2015-02-04,168.87449351685763,170.0835848102543,168.53495270967596,168.9904327392578,134306700
2015-02-05,169.65297323477577,170.84549834910774,169.57844357423738,170.69642639160156,97953200
2015-02-06,171.0607829977601,171.6239253830581,169.70263242153572,170.224365234375,125672000
2015-02-09,169.57838732130486,170.29886574036942,169.05665459774767,169.4624481201172,87219000
2015-02-10,170.49770284322997,171.5245897749129,169.50392336086054,171.2678680419922,96164200
2015-02-11,171.10220422257584,171.79783959611729,170.45625528479763,171.36720275878906,91087800
2015-02-12,172.16224399290283,173.07320421101406,171.40035573613238,173.01522827148438,97545900
2015-02-13,173.13941354760124,173.77707290377327,172.88267926954353,173.72738647460938,93670400
2015-02-17,173.41270104093434,174.17460179617606,173.16426887773315,174.0006866455078,76968200
2015-02-18,173.62807611633605,174.0918331373708,173.3630648834984,174.01730346679688,80652900
2015-02-19,173.4210021106608,174.25741993425422,173.2802196633091,173.89303588867188,91462500
2015-02-20,173.47901733644892,175.011083631322,172.85791142821907,174.93655395507812,140896400
2015-02-23,174.68805002173943,174.91165161132812,174.307099633419,174.91165161132812,74411100
2015-02-24,174.83714993892866,175.60732775468037,174.53901862902975,175.4085693359375,72472300
2015-02-25,175.28431892593602,175.76464219992835,174.91993488108469,175.2594757080078,73061700
2015-02-26,175.16841422758196,175.32576306309747,174.44792285634952,175.05247497558594,72697900
