date,Open,High,Low,Close,Volume
2015-01-02,25.291066740429105,25.6315782081798,25.17863148898577,25.54805564880371,55498200
2015-01-05,25.191491014507758,25.20112776529517,24.36590920207295,24.491191864013672,90790400
2015-01-06,24.449426017119222,24.648594472793977,23.96114285186874,24.13140106201172,83753200
2015-01-07,24.42372498056699,24.52973410978137,24.02217747674115,24.182796478271484,62384800
2015-01-08,24.37875883292412,24.783519518853467,24.27917580774909,24.725696563720703,56373800
2015-01-09,24.741749461507947,24.783511969681324,24.30807865553643,24.529733657836918,49904200
2015-01-12,24.21813858514229,24.21813858514229,23.694521398562262,23.823017120361328,57881200
2015-01-13,23.919389423813385,24.10570811618649,23.411832620804827,23.633487701416016,68102800
2015-01-14,23.408617368941663,23.742705231948783,23.03276699127628,23.707368850708008,104305000
2015-01-15,23.986839279643604,24.047875279864737,23.386125828061523,23.40539932250977,82692000
2015-01-16,23.54353779460803,24.19886373342348,23.524264295212607,24.16674041748047,85483800
2015-01-20,24.041452861401684,24.208498008593487,23.749127530093507,24.19564819335937,56171600
2015-01-21,24.37233517949856,24.69357327488793,24.19565324669353,24.68714714050293,56661600
2015-01-22,24.844553573662303,24.879889960867125,24.349849054499277,24.802793502807617,66037600
2015-01-23,24.690360531180307,24.979475310989063,24.587564437342994,24.62611389160156,42294800
2015-01-26,24.70963185964097,25.043719747941847,24.4911898730924,24.979473114013672,36724200
2015-01-27,24.783507425938858,25.08225880654276,24.722471433399587,24.96339988708496,43204600
2015-01-28,24.89595298443205,24.89595298443205,23.93223867535726,23.980424880981445,77666800
2015-01-29,24.17316472193506,24.205288038704115,23.517838766268078,24.060731887817383,60247400
2015-01-30,23.88082549294448,24.545790331711743,23.72020653498542,24.2695255279541,87696200
2015-02-02,24.56828152495968,25.02122579745328,24.40123640467669,25.01158905029297,70931400
2015-02-03,25.300706108144716,25.827536243360573,25.291069360074538,25.69582748413086,94055800
2015-02-04,25.361743443373747,25.506302038529213,25.0597813384737,25.27179718017578,82264400
2015-02-05,25.570552772848803,25.779358032126822,25.416359854292786,25.634801864624023,63572400
2015-02-06,25.837177413928572,25.88215054652168,25.51272628520523,25.64122200012207,52269200
2015-02-09,25.75044611142213,25.962461973420016,25.60910056952214,25.66692352294922,40407600
2015-02-10,25.7118890220683,25.73437558334156,25.18827198050441,25.65406608581543,43942600
2015-02-11,25.32640855092438,25.589826124143283,25.197915282142088,25.474180221557617,52393200
2015-02-12,25.821117411394336,25.927126571842223,25.63480117737185,25.80826759338379,52844600
2015-02-13,26.0620441992401,26.38328227494017,25.994584497445324,26.354372024536133,62375800
2015-02-17,26.22908498601513,26.479650251034528,26.0748896570831,26.43467712402344,44251800
2015-02-18,26.21944513705601,26.325451809131717,26.049186946816555,26.11985969543457,38762800
2015-02-19,25.57698343227064,26.145573902670083,25.4613374974686,25.997804641723636,47744000
2015-02-20,25.927122697628317,26.05883147441644,25.65728391228457,25.87251281738281,51283600
2015-02-23,25.61873317902064,25.975307592376712,25.55448655264277,25.766502380371094,39359000
2015-02-24,25.923910474479385,25.94639704065643,25.67013456370356,25.837177276611328,30861400
2015-02-25,25.856447424116165,26.02027949979778,25.72795172653944,25.978519439697266,32051400
2015-02-26,25.82432383690832,25.837173651614048,25.361740310908164,25.496662139892575,38698200
2015-02-27,25.59625371951048,25.61552722260329,25.358538194907123,25.38423538208008,26724400
2015-03-02,25.332832691629736,25.355319256982543,24.963408445817784,25.207550048828125,35957000
2015-03-03,25.223606073301063,25.45168720454964,25.111173266182924,25.300704956054688,24699400
2015-03-04,25.30713520485239,25.326408705116677,24.985897129236896,25.2653751373291,33205600
2015-03-05,25.201122609751028,25.23324837360649,25.07583997344012,25.114389419555664,22489000
2015-03-06,24.93770945070378,25.06620516350979,24.603621577748918,24.66465759277344,38352600
2015-03-09,24.62289737630064,24.90558598205391,24.487977981567383,24.487977981567383,34882200
2015-03-10,24.29202143315765,24.433364503980936,24.13461302916438,24.147462844848636,38061200
