date,Open,High,Low,Close,Volume
2015-01-02,16.01047316270815,16.48926011778406,16.01047316270815,16.464494705200195,212700
2015-01-05,16.287012452194233,16.398454442050372,15.766951407372003,15.903157234191896,387400
2015-01-06,15.96093807745268,16.274626921763197,15.490406385492976,15.717418670654297,332500
2015-01-07,15.956813813421732,16.179697778816365,15.47802691063307,15.544066429138184,312300
2015-01-08,15.667893013143225,16.361308863469443,15.593598345286372,16.324161529541016,428700
2015-01-09,16.30764836294621,16.34479569029031,15.890774200090256,15.923794746398926,294200
2015-01-12,15.89078048491244,15.899035624754523,15.131324939016864,15.255148887634276,302900
2015-01-13,15.263398703016916,15.366585553287049,14.140725268235856,14.417266845703123,515800
2015-01-14,14.264549686259311,14.285186739875762,13.628918358032523,14.19851016998291,378700
2015-01-15,14.289318814747336,14.289318814747336,13.789894689472217,13.802276611328123,244500
2015-01-16,13.938481398955144,14.243913626364158,13.909589203781495,14.070560455322266,232800
2015-01-20,14.15311018669503,14.425523435870408,13.860059880287958,14.396631240844728,291900
2015-01-21,14.40075460498877,14.747462437524884,14.396627824324389,14.697933197021484,269200
2015-01-22,14.854778905196447,15.081789649390146,14.685552542305912,14.953837394714355,348700
2015-01-23,14.801120768753494,15.416113461209594,14.751591525788696,15.341818809509276,333000
2015-01-26,15.399608832262048,15.589472292549898,15.213872153934076,15.424372673034668,238000
2015-01-27,15.251015547267244,15.684399968333093,15.164338977955325,15.67201805114746,241900
2015-01-28,15.68440163833782,15.713293831184773,15.391351354029364,15.49040985107422,355100
2015-01-29,15.626614829545495,15.721546530537498,15.024004080027831,15.28403377532959,517400
2015-01-30,15.193234572021597,15.965071881491788,15.193234572021597,15.816482543945312,346200
2015-02-02,15.754567920678854,16.109530946027704,15.556449352357582,16.08889389038086,318600
2015-02-03,16.183822198134628,16.749287165728056,16.183822198134628,16.617206573486328,385500
2015-02-04,16.464493864009413,16.542916879265007,16.043491318632217,16.36956214904785,383800
2015-02-05,16.509896238327833,16.716269941306933,16.348925001925164,16.551170349121094,215900
2015-02-06,16.56355108139491,16.716267155285177,16.501638351017323,16.683246612548828,211300
2015-02-09,16.71627476910607,16.88137440897406,16.59245082645851,16.60896110534668,345400
2015-02-10,16.72452668318138,16.815331625047488,16.52227974207229,16.794692993164062,382800
2015-02-11,16.637848093756034,16.831838299143776,16.59657240946667,16.67499542236328,373400
2015-02-12,16.802943928733487,17.2280747620067,16.691501957361254,17.145524978637695,467200
2015-02-13,16.94740845892736,17.49636167078561,16.92264304861929,17.137271881103516,381500
2015-02-17,17.079490714947248,17.16204052368176,16.637851048900256,17.124893188476562,424400
2015-02-18,16.819453243134753,17.331260611291338,16.819453243134753,17.285858154296875,446800
2015-02-19,16.30352798407189,16.542922315297538,15.50279831572731,15.977457046508787,883200
2015-02-20,16.01872421321812,16.670864166474583,15.936174433506826,16.617206573486328,545000
2015-02-23,16.633720489986178,17.479852374837233,16.608956652799495,17.323009490966797,463900
2015-02-24,17.368408182051684,17.434447691034517,16.95978763774748,17.04233741760254,279200
2015-02-25,17.04646973375366,17.207440990766635,16.926772592818565,17.00519561767578,275200
2015-02-26,17.059516683495954,17.339454092960896,16.850607598038593,17.22246551513672,233300
2015-02-27,17.239167601162606,17.5567101299242,17.08875448074018,17.54417610168457,595900
2015-03-02,17.468970871378705,17.47314835001753,17.046973805645255,17.088756561279297,575600
2015-03-03,17.18067869731244,17.339450011162377,17.092937284599103,17.25588607788086,324100
2015-03-04,17.13471314392953,17.314374986956736,16.971764401148803,17.15560531616211,255900
2015-03-05,17.289309003737937,17.46061431718452,17.04697380265054,17.377050399780273,311000
2015-03-06,17.18903418072427,17.443903444145647,16.704365310461263,16.729434967041016,271000
2015-03-09,16.779571080253188,17.092934585183603,16.68765060877519,16.691829681396484,288600
2015-03-10,16.512169381778474,16.666761612638588,16.069281678894843,16.215518951416016,321800
2015-03-11,16.2740136666907,16.453675559015235,15.98571818680512,16.303260803222656,244900
2015-03-12,16.38681940891643,16.466204240301362,16.040029768650346,16.102703094482422,278200
2015-03-13,16.052566985492536,16.34086242897801,15.918865351413464,16.274011611938477,222200
2015-03-16,16.22804927508124,16.56230331699789,15.948110419204856,16.537235260009766,325500
2015-03-17,16.44113973995361,16.654227839434846,16.24476633895742,16.562307357788086,267000
2015-03-18,16.528880598143772,17.381228103949095,16.4244260984954,17.306020736694336,346300
2015-03-19,17.163962534721666,17.23499082276188,16.896557701911085,16.980121612548828,273700
2015-03-20,16.959233012919192,17.27677399778877,16.959233012919192,17.109647750854492,324200
2015-03-23,17.13471941261304,17.531646922512223,17.13471941261304,17.368698120117188,289700
2015-03-24,17.326915940766064,17.531645903311883,17.134718416488035,17.448081970214844,316200
2015-03-25,17.53164641551171,17.75309108376595,17.502399277150687,17.569250106811523,376700
2015-03-26,17.96199755498587,17.96199755498587,17.477328710847704,17.548357009887695,243800
2015-03-27,17.594323322353542,17.698777864429875,17.16814859942012,17.285137176513672,364000
2015-03-30,17.306021834638372,17.991244734637508,17.25170663894671,17.966175079345703,323300
2015-03-31,17.74472778966051,18.05391216169014,17.60684710932513,17.782331466674805,227000
2015-04-01,17.82829475402832,18.15837138356575,17.76980048425699,17.82829475402832,290200
2015-04-02,17.74891461984155,17.995427389305313,16.921634883467338,16.98430824279785,319700
2015-04-06,17.067862707260797,17.301841334243214,16.741965214625544,17.11382293701172,237500
2015-04-07,17.184853503448153,17.251704314703847,16.963408896161294,16.97594451904297,355300
2015-04-08,16.971770833096382,17.084581911739694,16.775397409250232,16.787931442260742,411800
2015-04-09,16.787925392985006,16.92580448796669,16.520522159451684,16.537235260009766,351900
2015-04-10,16.616619600581828,16.91744902624614,16.520521666016606,16.896556854248047,195400
2015-04-13,17.026079788026443,17.026079788026443,16.470381204130533,16.65839958190918,315600
2015-04-14,16.712719653415167,16.846421283134557,16.558127442898837,16.67093849182129,232800
2015-04-15,16.804640805009868,16.925806816099772,16.787927702152913,16.917451858520508,271500
2015-04-16,16.800461194929632,17.280952526676497,16.696006696188938,17.180675506591797,276500
